grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,exclusion_reason,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id
LLC_459_1006,459,1006,71.375,24.625,72.796226964919,93,8.29061089131373,7.23999977111816,195.463199251625,2,0.0487804878048781,40.092,36.494,126.447994238646,33,0.62639008848726,0,0.123809523809524,0.300446968390696,4564,10,200,209.209167480469,0,0,osm_coast_distance_gt_inland_cap,0,NaN,NaN,NaN,NaN,
LLC_487_0355,487,355,-91.375,31.625,3.66523162881944,5,9,9,179.970489226078,8,0.195121951219512,52.942,41.0804615384615,106.131268076395,33,0.178605004511277,0.373114300021637,0.361904761904762,0.283903686324444,4734,10,200,204.33561706543,0,0,osm_coast_distance_gt_inland_cap,0,NaN,NaN,NaN,NaN,
LLC_487_0354,487,354,-91.625,31.625,2.19929604695401,3,9.16680072411569,9,192.232967841632,7,0.170731707317073,55.512,41.2913333333333,102.88282514848,33,0.117432559525303,0.333112440078278,0.40952380952381,0.247518199246269,5037,10,200,200.645690917969,0,0,osm_coast_distance_gt_inland_cap,0,NaN,NaN,NaN,NaN,
LLC_488_0354,488,354,-91.625,31.875,0.731653081453532,1,9.5,9.5,198.895629882812,6,0.146341463414634,55.512,40.6631111111111,130.675649737406,33,0.0178824442980172,0.287762071614427,0.40952380952381,0.18458050000845,5438,10,200,228.279602050781,0,0,osm_coast_distance_gt_inland_cap,0,NaN,NaN,NaN,NaN,
LLC_488_0355,488,355,-91.375,31.875,0.731653081453532,1,9.5,9.5,194.866516113281,5,0.121951219512195,43.69,39.4311428571429,133.241446294117,33,0.0178824442980172,0.235408913366638,0.19047619047619,0.130782093852192,5703,10,200,231.593109130859,0,0,osm_coast_distance_gt_inland_cap,0,NaN,NaN,NaN,NaN,
LLC_440_0365,440,365,-88.875,19.875,13.7594182300706,17,6.24195842437992,1.5,113.16947962925,10,0.24390243902439,77.1,46.1382631578947,8.73962415938355,33,0.365385870772076,0.44126673818796,0.80952380952381,0.462358908551189,2689,10,200,120.804718017578,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_440_0366,440,366,-88.625,19.875,7.2867022148454,9,5.36893078515773,1.5,109.21870020767,11,0.268292682926829,77.1,47.6139512195122,24.9574910861955,33,0.271775312028152,0.470817826733276,0.80952380952381,0.43205459253455,3079,10,200,95.232551574707,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_432_0345,432,345,-93.875,17.875,484.776135861141,592,3.27093106355623,0,35.6501287253095,2,0.0487804878048781,35.98,35.98,139.640711107929,33,0.931993950446079,0,0.0476190476190476,0.426540134843593,3142,10,200,44.153736114502,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_432_0344,432,344,-94.125,17.875,351.349633306048,429,3.17128779341599,-0.5,32.1461040785175,2,0.0487804878048781,35.98,35.98,116.786515416453,33,0.879916569828998,0,0.0476190476190476,0.403105313565906,3421,10,200,36.6854019165039,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_431_0342,431,342,-94.625,17.625,263.996502016603,322,5.83754577062636,-1.5,48.233206491453,2,0.0487804878048781,35.98,35.98,102.149811444072,33,0.833712515550772,0,0.0476190476190476,0.382313489140704,3665,10,200,47.2234954833984,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_439_0365,439,365,-88.875,19.625,2.4299596238598,3,7.97999199299963,5.78999996185303,111.219880465584,9,0.219512195121951,77.1,46.5774705882353,36.232882424129,33,0.128722614656313,0.408897183077904,0.80952380952381,0.342912621255074,4110,10,200,118.140983581543,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_405_1148,405,1148,106.875,11.125,83.6204366157211,99,6.5762451314887,-4.48000001907349,53.3807283014018,2,0.0487804878048781,48.83,40.7773333333333,143.253931486369,33,0.648586308098217,0,0.285714285714286,0.334720981501341,4189,10,200,69.0521240234375,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
LLC_431_0344,431,344,-94.125,17.625,133.650862436003,163,7.0633747026934,1.5,50.7977871375995,2,0.0487804878048781,35.98,35.98,134.089961797459,33,0.72391683113686,0,0.0476190476190476,0.332905431154444,4205,10,200,55.1754684448242,1,0,inland_block_no_open_ocean_contact,0,0,0,NaN,NaN,
