model_domain_id,rank_domain,lon,lat,basin_id,basin_label,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,tc_landfall_count_mean,tc_landfall_per_year_max,tc_landfall_max_wind_ms,mean_elevation_m,mean_coast_distance_km,mean_osm_coast_distance_km,nearest_landfall_km,screen_score_mean,population_sum_2020,population_density_per_lowland_km2,area_priority,tc_frequency_priority,population_priority,wind_priority,priority,span_km,alongshore_length_km,cross_shore_width_km,aspect_ratio,contains_estuary_proxy,estuary_proxy_count,domain_ocean_connected,ocean_connected_cell_count,osm_coast_contact_cell_count,exceeds_nominal_size_limits,limit_exception_reason,lon_min,lon_max,lat_min,lat_max,suggested_bbox_lon_min,suggested_bbox_lon_max,suggested_bbox_lat_min,suggested_bbox_lat_max,crosses_dateline,plot_rank,position_connected_rank,quicklook_basin_id
GTC_0005,14,110.024532752565,20.4567032963716,BASIN_WNP,Western North Pacific and East Asia,91,5759.47239991513,34,26.3956043956044,0.829268292682927,68.362,5.16452480132464,4.71284968644458,6.42003810723994,3.7984909244217,0.614399076648247,0,0,0.624140165472174,0.834364641347329,0,0.637254901960784,0.522299379829445,516.00828648483,430.655834634337,302.939525412986,1.42159011455254,1,1,1,89,89,1,kept_to_preserve_estuary_proxy,108.5,111.25,18,22.25,108,111.75,17.5,22.75,0,43,43,BASIN_WNP
GTC_0009,12,113.086729438082,22.6932204682676,BASIN_WNP,Western North Pacific and East Asia,80,11754.6425509515,31,21.05,0.75609756097561,68.362,4.21454067241706,23.3192129502988,41.3566023477029,3.78305471749547,0.602998661878881,0,0,0.735390502905033,0.803930266811554,0,0.637254901960784,0.532375697501707,417.307272327374,363.29992115317,304.170632846655,1.19439512537137,1,2,1,47,47,1,kept_to_preserve_estuary_proxy,111.25,114.75,21.25,23.75,110.75,115.25,20.75,24.25,0,44,44,BASIN_WNP
GTC_0014,15,116.557067204273,23.4591095425794,BASIN_WNP,Western North Pacific and East Asia,52,5164.5964144874,33,22.3461538461538,0.804878048780488,66.82,4.43525627999286,7.95075230812896,13.1612268329683,3.75365072538401,0.589380347822042,0,0,0.607140402781665,0.824519799230255,0,0.607843137254902,0.512020313973925,479.152529270643,463.587357625413,120.536354999187,3.84603763427673,1,2,1,45,45,0,none,114.75,119,22.5,25,114.25,119.5,22,25.5,0,45,45,BASIN_WNP
GTC_0007,11,120.345336687455,27.20451245204,BASIN_WNP,Western North Pacific and East Asia,70,5478.42598169846,40,22.9285714285714,0.975609756097561,66.82,4.26618207776623,7.90777494840476,10.4816992295059,3.70241973739265,0.568214801777062,0,0,0.616339046958799,0.888101195690761,0,0.607843137254902,0.539292601393554,564.225710337605,521.915053738436,142.767221509989,3.65570645851589,1,2,1,60,60,0,none,118.25,122,24.75,29,117.75,122.5,24.25,29.5,0,46,46,BASIN_WNP
GTC_0042,28,120.626410968782,31.3907191993884,BASIN_WNP,Western North Pacific and East Asia,150,49561.2869333647,12,4.9,0.292682926829268,53.97,3.54145316576867,29.8399559833833,54.45698163422,3.6793551184075,0.445383200762641,0,0,0.959804706229128,0.498002193004707,0,0.362745098039216,0.42743632825163,570.315355700286,492.453801753323,328.193932210289,1.50049636334466,1,1,1,74,74,1,kept_to_preserve_estuary_proxy,119,123,28.5,32.75,118.5,123.5,28,33.25,0,47,47,BASIN_WNP
GTC_0077,41,119.506225144577,10.8678014258857,BASIN_WNP,Western North Pacific and East Asia,38,878.870879314124,16,6.18421052631579,0.390243902439024,74.53,4.98221618332315,1.75821957202708,3.01907731351163,8.7736299376398,0.283319070208868,0,0,0.331086361835814,0.589110885863617,0,0.754901960784314,0.377351822791041,360.99502385428,347.072923057077,147.143683240997,2.35873477822782,1,2,1,38,38,0,none,118.5,120.5,9.5,12.5,118,121,9,13,0,48,48,BASIN_WNP
GTC_0004,7,121.370732963539,18.0559088976202,BASIN_WNP,Western North Pacific and East Asia,42,1615.92479247668,56,39.6190476190476,1.36585365853659,79.67,4.94287305643571,4.71856892619332,8.08221448968699,3.82971094243026,0.633777430901206,0,0,0.425990613442156,1,0,0.852941176470588,0.57049224033549,433.128749813806,317.320040845765,268.346049414322,1.18250312064713,1,2,1,40,40,1,kept_to_preserve_estuary_proxy,120.25,122.75,16,19.5,119.75,123.25,15.5,20,0,49,49,BASIN_WNP
GTC_0001,6,120.466936876314,15.5289322720134,BASIN_WNP,Western North Pacific and East Asia,25,3107.40763704708,55,45,1.34146341463415,71.96,4.69349750478928,14.9832077452669,16.0267677714496,3.84972268417189,0.757784137531774,0,0,0.527925402450431,0.993988811714342,0,0.705882352941176,0.573768840469941,298.252921572173,260.14472460269,119.339835474505,2.17986495094728,1,1,1,22,22,0,none,119.75,121,14.5,17.25,119.25,121.5,14,17.75,0,50,50,BASIN_WNP
GTC_0002,3,121.8171903748,13.7190392900104,BASIN_WNP,Western North Pacific and East Asia,110,4426.98549298077,50,34.0909090909091,1.21951219512195,87.38,4.69989239077953,5.08544243685339,8.10738050729609,3.86135192139098,0.641729948300672,0,0,0.583110324215986,0.962225185885254,0,1,0.601512139197299,582.002955931817,383.509110343674,415.51025210296,1.08344297670167,1,1,1,109,109,1,kept_to_preserve_estuary_proxy,120,124,11.5,15.5,119.5,124.5,11,16,0,51,51,BASIN_WNP
GTC_0008,10,122.77869390168,11.235983649187,BASIN_WNP,Western North Pacific and East Asia,37,1648.35488610199,40,23.7297297297297,0.975609756097561,87.38,4.87182287542031,2.65859634850409,5.82723206920115,3.89096991703166,0.608395782060719,0,0,0.429087745879685,0.888101195690761,0,1,0.541058027452241,293.391606787291,270.434294639236,150.967325246764,1.79134322077441,1,1,1,37,37,0,none,121.75,123.75,10.25,12.5,121.25,124.25,9.75,13,0,52,52,BASIN_WNP
GTC_0020,16,123.644374734046,10.032058385369,BASIN_WNP,Western North Pacific and East Asia,70,1927.6944764928,31,14.8142857142857,0.75609756097561,86.352,5.23308367223816,2.04009943229948,5.10161867060455,3.89448635971322,0.513256481446017,0,0,0.45348952624389,0.803930266811554,0,0.980392156862745,0.510309227659674,432.006825237969,357.899316164162,233.253336753727,1.53438026287288,0,0,1,70,70,0,none,122.25,125,8.25,11.5,121.75,125.5,7.75,12,0,53,53,BASIN_WNP
GTC_0006,8,124.527640506308,12.3008765204906,BASIN_WNP,Western North Pacific and East Asia,68,2728.22221079091,43,34.4411764705882,1.04878048780488,87.38,4.88294753871984,3.64058527972313,6.10216123358634,3.87634656547551,0.686184559731794,0,0,0.507635607107411,0.912084564921236,0,1,0.566360947389977,466.900885781964,363.525001072045,215.766169360064,1.68481000589766,1,1,1,68,68,0,none,122.5,125.75,11,14.25,122,126.25,10.5,14.75,0,54,54,BASIN_WNP
GTC_0023,22,125.605577250889,9.47856348419835,BASIN_WNP,Western North Pacific and East Asia,59,1849.30864232979,23,12.4406779661017,0.560975609756098,86.352,4.84384831773869,3.27265229608129,7.71607968667231,3.89768918938418,0.493049960332593,0,0,0.447018497896678,0.706226740099915,0,0.980392156862745,0.469933611305576,423.221362665202,377.86095253384,245.08871721147,1.54173132420375,1,1,1,57,57,0,none,124.25,126.5,7.75,11.25,123.75,127,7.25,11.75,0,55,55,BASIN_WNP
GTC_0003,9,120.498489284716,23.6207991297487,BASIN_WNP,Western North Pacific and East Asia,36,2876.79802075077,48,38.4444444444444,1.17073170731707,71.96,4.73874043378725,6.29046973772192,8.24878069757658,3.75338640732495,0.67967715143195,0,0,0.515902995352708,0.948638443250491,0,0.705882352941176,0.553224211664856,428.557834418737,393.275915522856,169.578311081489,2.31914041963699,1,1,1,36,36,0,none,120,122,21.75,25.5,119.5,122.5,21.25,26,0,56,56,BASIN_WNP
GTC_0084,90,125.391650233537,38.8619963653787,BASIN_WNP,Western North Pacific and East Asia,55,4295.64030876133,4,3.43636363636364,0.0975609756097561,37.522,5.10558283447235,6.94805188872514,12.4308325975737,6.97681182319031,0.290848886188241,0,0,0.578414078314944,0.173488269711265,0,0.0490196078431373,0.189980084331809,366.430947050623,316.905470993795,190.462558850898,1.66387279949274,1,1,1,48,48,0,none,124,127,37.5,40.25,123.5,127.5,37,40.75,0,57,57,BASIN_WNP
GTC_0045,42,127.210949509617,36.1164892164008,BASIN_WNP,Western North Pacific and East Asia,139,6021.51100093927,14,7.92805755395683,0.341463414634146,51.4,4.78032335398419,5.28870070999687,9.58751026934713,3.56893230451456,0.364815442641576,0,0,0.631078133406873,0.546602569732902,0,0.313725490196078,0.376229203594143,798.303471355691,727.111127290124,343.624127200241,2.11600720011844,1,3,1,132,132,1,kept_to_preserve_estuary_proxy,125.75,129.75,33,39.75,125.25,130.25,32.5,40.25,0,58,58,BASIN_WNP
GTC_0061,23,135.500681433047,36.1009507122853,BASIN_WNP,Western North Pacific and East Asia,59,1779.35800066182,18,12.6101694915254,0.439024390243902,51.4,4.42680579731997,4.96683545575189,8.06797190663593,7.32606701963947,0.398922822767781,118.415806472301,0.0665497367186692,0.441008009751523,0.626885699978363,0.311309861938742,0.313725490196078,0.46372138954288,600.991443928811,577.276343548201,180.800051981468,3.19289921226003,1,2,1,59,59,0,none,131.75,137.75,34.75,37.75,131.25,138.25,34.25,38.25,0,59,59,BASIN_WNP
GTC_0011,20,130.864416322467,33.0544899830171,BASIN_WNP,Western North Pacific and East Asia,128,3856.55136428382,31,24.1171875,0.75609756097561,59.11,4.15653791628088,3.18867782712343,5.28238438318171,3.61293584458902,0.523325836919151,0,0,0.561601181342861,0.803930266811554,0,0.46078431372549,0.479970774365743,684.527296565137,498.070303801213,374.976779185651,1.32826972614915,0,0,1,128,128,1,split_failed_review_needed,128.5,133.75,30,34.75,128,134.25,29.5,35.25,0,60,60,BASIN_WNP
GTC_0017,4,135.570600467133,34.6328170754885,BASIN_WNP,Western North Pacific and East Asia,86,4813.73653789639,27,21.0813953488372,0.658536585365854,56.54,3.71175753781408,6.69393602210045,8.81136146831792,3.59990202703684,0.524989896042022,781.978033468127,0.162447202357662,0.596170106519078,0.758579898347703,0.433714959610678,0.411764705882353,0.593956939114336,550.778605742036,508.822135266391,198.871857413599,2.55854268112043,1,3,1,84,84,0,none,132.5,138.25,33.25,35.5,132,138.75,32.75,36,0,61,61,BASIN_WNP
GTC_0022,30,140.006373372476,35.7399557488548,BASIN_WNP,Western North Pacific and East Asia,47,3872.83190951128,21,17.2127659574468,0.51219512195122,53.97,4.72152254790881,14.1501985649441,14.9267802326411,3.58222357829074,0.529441611050815,0,0,0.562258026580182,0.676675651554598,0,0.362745098039216,0.419396375741797,352.812673738872,348.895648394136,142.734062476181,2.44437552145171,1,1,1,43,43,0,none,138,141,34.5,37,137.5,141.5,34,37.5,0,62,62,BASIN_WNP
GTC_0074,56,140.780838876621,39.4928899663231,BASIN_WNP,Western North Pacific and East Asia,79,2769.69070250142,13,3.78481012658228,0.317073170731707,48.83,3.95820427497895,7.30502469660632,8.71758571026441,11.3523758356537,0.223091419969334,0,0,0.509987520517096,0.523170984981065,0,0.264705882352941,0.337736486331139,604.659947029229,571.867403456797,220.337031703281,2.59542120103945,1,2,1,78,78,0,none,139.25,142.25,37,42.25,138.75,142.75,36.5,42.75,0,63,63,BASIN_WNP
GTC_0047,64,139.138265042396,37.9290207736062,BASIN_WNP,Western North Pacific and East Asia,18,1560.93727238892,13,9.33333333333333,0.317073170731707,46.26,4.56516017238762,8.14472771409179,9.09613755183423,8.62538350103913,0.403169830025803,0,0,0.42059443325341,0.523170984981065,0,0.215686274509804,0.314955908094089,262.279709760666,260.032335411046,61.1874481742689,4.24976597602901,1,1,1,18,18,0,none,137.75,140,37,39,137.25,140.5,36.5,39.5,0,64,64,BASIN_WNP
GTC_0097,97,142.743912868028,42.3424547546481,BASIN_WNP,Western North Pacific and East Asia,12,104.311094827349,2,2,0.0487804878048781,34.952,5.74940810579022,2.1346112484319,7.96838606716842,98.3829910386523,0.111851044243196,0,0,0,0,0,0,0,132.471707576625,104.932916680414,92.3838598088529,1.13583603128865,1,1,1,12,12,0,none,142,143.5,41.75,42.75,141.5,144,41.25,43.25,0,65,65,BASIN_WNP
GTC_0043,62,34.8859348972252,-20.3267912920794,BASIN_SIO,South Indian Ocean,44,6247.5450613091,8,5.20454545454545,0.195121951219512,59.11,4.88053049911444,5.45140122013676,15.2514306052938,3.81873730888514,0.421796680381934,0,0,0.636824479031426,0.373114300021637,0,0.46078431372549,0.322689047187489,517.655415678226,492.184059071787,148.889695280346,3.30569592573245,1,2,1,40,40,0,none,34.25,35.75,-23.75,-19,33.75,36.25,-24.25,-18.5,0,66,66,BASIN_SIO
GTC_0055,65,36.4912931993482,-18.188984683896,BASIN_SIO,South Indian Ocean,35,13328.7089919294,6,4.05714285714286,0.146341463414634,59.11,4.34791153442544,11.2847759318263,26.8828198819462,3.83510999747997,0.462313116097506,0,0,0.754989078430917,0.287762071614427,0,0.46078431372549,0.312181075704503,287.557979642331,269.096924764514,101.028577957324,2.6635723297836,1,1,1,20,20,0,none,35.5,37.75,-19.25,-17.25,35,38.25,-19.75,-16.75,0,67,67,BASIN_SIO
GTC_0087,81,39.54894407528,-16.016443662803,BASIN_SIO,South Indian Ocean,49,3841.11913183996,4,2.3469387755102,0.0975609756097561,61.68,4.95885946458189,3.47960796394953,7.30329480112899,8.75374254774929,0.307220320678864,0,0,0.560975997322205,0.173488269711265,0,0.509803921568628,0.23257089950581,609.810074753923,580.57431685792,187.192471903369,3.10148325386514,0,0,1,48,48,0,none,37.5,41,-17.5,-12.75,37,41.5,-18,-12.25,0,68,68,BASIN_SIO
GTC_0068,87,43.7507665641329,-22.3817903723551,BASIN_SIO,South Indian Ocean,40,2725.89886697416,4,3.775,0.0975609756097561,51.4,5.23378119878084,3.17299609924383,8.27204292929467,3.75338640732495,0.336939108380064,0,0,0.507502781998208,0.173488269711265,0,0.313725490196078,0.202268413303756,585.023043227816,559.241187368148,166.640358117128,3.35597686951122,1,1,1,40,40,0,none,43,45,-25.5,-20.25,42.5,45.5,-26,-19.75,0,69,69,BASIN_SIO
GTC_0071,84,44.4465831455299,-19.5030794082917,BASIN_SIO,South Indian Ocean,14,1600.51201919153,5,4.5,0.121951219512195,51.4,4.84338034631114,3.05530203196362,10.4932584852919,8.30870919962899,0.384668626521871,0,0,0.4244968225922,0.235408913366638,0,0.313725490196078,0.210435478884703,159.863553860596,144.588303392328,71.1784657497398,2.03134897429081,1,1,1,11,11,0,none,44,45,-20.25,-18.75,43.5,45.5,-20.75,-18.25,0,70,70,BASIN_SIO
GTC_0070,71,44.3710297440689,-17.0748514189818,BASIN_SIO,South Indian Ocean,26,2905.23527344894,7,5.34615384615385,0.170731707317073,51.4,5.19681863734988,5.33566021739028,11.4212761241615,3.84768739614727,0.423008994566093,0,0,0.517436591553448,0.333112440078278,0,0.313725490196078,0.268104843361609,333.779834497286,324.097526028725,95.8099850549512,3.38271137233599,1,1,1,26,26,0,none,43.75,45.25,-18.75,-15.75,43.25,45.75,-19.25,-15.25,0,71,71,BASIN_SIO
GTC_0044,47,46.8211277025447,-15.5473535418362,BASIN_SIO,South Indian Ocean,55,4815.90655302052,11,7.47272727272727,0.268292682926829,63.222,4.83870717794409,3.73562249344161,16.1667034728666,3.85460140144164,0.447852412169457,0,0,0.596240383493948,0.470817826733276,0,0.53921568627451,0.361496776019551,463.730535445531,407.728175696092,195.423969054165,2.08637751893722,1,2,1,43,43,0,none,45.25,48.5,-16.75,-13.5,44.75,49,-17.25,-13,0,72,72,BASIN_SIO
GTC_0058,55,49.061680401296,-13.0803649424591,BASIN_SIO,South Indian Ocean,32,2073.76282492329,10,5.5625,0.24390243902439,71.96,5.03709724778863,3.29526447571512,6.42870452949741,8.60757911799892,0.387372280107128,0,0,0.464875348795929,0.44126673818796,0,0.705882352941176,0.340070000328487,291.514360703252,222.746985682935,221.778143460489,1.00436851985199,1,1,1,32,32,0,none,48,50.25,-13.75,-11.75,47.5,50.75,-14.25,-11.25,0,73,73,BASIN_SIO
GTC_0036,43,49.8748742107473,-15.9106840959372,BASIN_SIO,South Indian Ocean,36,2161.15863257753,13,10.3611111111111,0.317073170731707,71.96,5.35248475840273,3.00658128545813,6.10002759379421,3.84023997578799,0.504607444750342,0,0,0.47131040678116,0.523170984981065,0,0.705882352941176,0.374118710642776,491.671280762033,485.027585337846,90.0982295685928,5.38331982393271,1,2,1,36,36,0,none,49,50.5,-18.25,-13.75,48.5,51,-18.75,-13.25,0,74,74,BASIN_SIO
GTC_0060,60,48.4508875722698,-20.7564649721062,BASIN_SIO,South Indian Ocean,38,3027.96413695694,10,6.34210526315789,0.24390243902439,59.11,5.41641790542552,4.24204439425786,8.10182634672672,3.80730503970068,0.420592982327693,0,0,0.523887546073633,0.44126673818796,0,0.46078431372549,0.327362635862459,506.968921799046,506.486181634818,56.9471308153369,8.8939719066305,1,2,1,35,35,0,none,47.5,49.5,-22.75,-18.25,47,50,-23.25,-17.75,0,75,75,BASIN_SIO
GTC_0090,95,47.4937795534455,-23.851774649544,BASIN_SIO,South Indian Ocean,11,564.388410868515,2,2,0.0487804878048781,59.11,4.8550977797392,2.77060904004453,6.67625063317886,59.760716318718,0.286291768977697,0,0,0.262109962731555,0,0,0.46078431372549,0.09850042391886,148.169422244656,148.07650805305,43.1503885751799,3.43163788189437,1,1,1,11,11,0,none,47,47.75,-24.75,-23.25,46.5,48.25,-25.25,-22.75,0,76,76,BASIN_SIO
GTC_0081,69,58.402852186574,20.5501136400928,BASIN_NIO,North Indian Ocean,15,1843.56088316985,2,2,0.0487804878048781,50.372,3.04354299970704,6.20950956603865,5.71665365907833,19.6309620978679,0.307525388964048,2984.84424204138,1.61906464239423,0.446533264731097,0,0.520842791484286,0.294117647058824,0.274971255097388,171.373853985416,166.902821257136,86.8483371520377,1.92177336642559,1,1,1,15,15,0,none,57.75,59.25,20,21.25,57.25,59.75,19.5,21.75,0,77,77,BASIN_NIO
GTC_0076,25,69.8902813327109,24.0285690153574,BASIN_NIO,North Indian Ocean,63,23424.6261119163,2,2,0.0487804878048781,56.54,3.25615449774927,89.3830789994786,70.1317254934897,8.05980053114166,0.423830544942902,283834.025464248,12.1169073994252,0.842926332903103,0,0.817305102044113,0.411764705882353,0.45495326778209,377.631689159656,313.308607735354,217.569946103841,1.44003624280818,1,1,1,22,22,0,none,68.25,71.5,22.75,25,67.75,72,22.25,25.5,0,78,78,BASIN_NIO
GTC_0079,39,70.6223293879368,22.7276150497368,BASIN_NIO,North Indian Ocean,50,8304.57098424552,2,2,0.0487804878048781,56.54,4.3300718365094,50.708601018124,54.7934802067689,8.72662802359044,0.334612212905385,29063.8020766825,3.49973552298114,0.681208001215672,0,0.668969151040822,0.411764705882353,0.378108816143616,472.105341247248,328.003282555751,284.185142117558,1.15418870990823,0,0,1,35,35,1,split_failed_review_needed,68.75,72.25,20.5,23.75,68.25,72.75,20,24.25,0,79,79,BASIN_NIO
GTC_0065,2,79.8657763932207,10.722736661663,BASIN_NIO,North Indian Ocean,58,9528.45270895322,7,4.1551724137931,0.170731707317073,71.96,4.73352731156485,7.73265521077783,9.93734733428571,8.62863033038884,0.38942077239051,1239253.74906172,130.058235782319,0.702646754574058,0.333112440078278,0.913242431222576,0.705882352941176,0.618335291607013,546.620102457959,502.339898353952,221.129161125593,2.27170354102977,0,0,1,57,57,0,none,78.75,81,8.75,13.5,78.25,81.5,8.25,14,0,80,80,BASIN_NIO
GTC_0056,5,80.5627345645349,15.5248835849581,BASIN_NIO,North Indian Ocean,35,9586.76466732542,4,3.17142857142857,0.0975609756097561,71.96,4.65684390391199,15.3653612337438,12.9999556900993,3.86596730714782,0.471116099174783,4500735.52314277,469.473871459746,0.703598202376351,0.173488269711265,0.997193622171836,0.705882352941176,0.579861270305445,370.694088429877,349.85985794241,122.461966209842,2.85688584603416,0,0,1,32,32,0,none,79.75,81.5,13.5,16.75,79.25,82,13,17.25,0,81,81,BASIN_NIO
GTC_0049,13,82.0383585853929,16.8605749278116,BASIN_NIO,North Indian Ocean,35,7056.84076872147,6,4.45714285714286,0.146341463414634,59.11,4.70030193202856,19.5034863542243,19.0318473650784,3.82998745977767,0.439079165444994,135152.819776993,19.152029102887,0.655819254056168,0.287762071614427,0.769008146516462,0.46078431372549,0.523049554784492,427.335800370117,411.260144266736,106.902470691203,3.84705930188177,0,0,1,31,31,0,none,81,84.5,16.25,18.75,80.5,85,15.75,19.25,0,82,82,BASIN_NIO
GTC_0040,57,86.3729361984377,20.5168514087212,BASIN_NIO,North Indian Ocean,44,11845.0783016197,6,4.56818181818182,0.146341463414634,70.932,4.50692246833884,17.291617692078,18.7262309544764,3.81598606340235,0.509507516242079,0,0,0.736585726823368,0.287762071614427,0,0.686274509803922,0.331049424990837,440.151113682437,440.150476852705,105.069994000666,4.18911679817849,1,2,1,35,35,0,none,84.5,87.5,18.75,22,84,88,18.25,22.5,0,83,83,BASIN_NIO
GTC_0018,26,89.4784640180809,22.7893535579674,BASIN_NIO,North Indian Ocean,136,64131.6762144407,11,6.52941176470588,0.268292682926829,69.39,4.19039906911114,58.3252229366846,61.4183793402722,3.77343133345852,0.584920441383034,0,0,1,0.470817826733276,0,0.656862745098039,0.454013405203115,480.896350785898,454.894799727668,321.661402332369,1.41420386912829,1,2,1,56,56,1,kept_to_preserve_estuary_proxy,87.25,91.5,21.5,24,86.75,92,21,24.5,0,84,84,BASIN_NIO
GTC_0019,32,93.2177079817575,20.1628653606939,BASIN_NIO,North Indian Ocean,100,18788.7282823599,11,6.64,0.268292682926829,69.39,4.29827198545,23.4844807633562,23.9208503898095,3.7952380814647,0.50107839046525,0,0,0.808533412017224,0.470817826733276,0,0.656862745098039,0.415720087606559,886.421630977752,817.752773077574,184.261418823556,4.43800323637274,1,2,1,77,77,0,none,91,95.75,16.5,23.5,90.5,96.25,16,24,0,85,85,BASIN_NIO
GTC_0066,72,95.9164534372114,16.6962638524803,BASIN_NIO,North Indian Ocean,83,33286.802951405,3,2.48192771084337,0.0731707317073171,59.11,3.87264088925181,28.4923316235216,36.7337252682657,8.48026077703219,0.43594223137525,0,0,0.897725455825429,0.0977035267116395,0,0.46078431372549,0.264704933222291,509.273575339524,448.436668427534,214.406284672858,2.09152762994686,0,0,1,50,50,0,none,94,98.25,15.5,18.25,93.5,98.75,15,18.75,0,86,86,BASIN_NIO
GTC_0069,21,113.789422371824,-24.4741129978497,BASIN_AUSSP,Australia and South Pacific,42,6302.93494222708,4,2.64285714285714,0.0975609756097561,55.512,2.87833959496386,18.8727950652426,20.3122545649613,3.75714207632359,0.337677958159806,191305.930247327,30.3518808302551,0.638200909836461,0.173488269711265,0.791625383168037,0.392156862745098,0.473738791076719,402.577977497112,391.542240345287,101.209860374612,3.86861753287729,1,2,1,37,37,0,none,113.25,114.5,-26.5,-22.75,112.75,115,-27,-22.25,0,87,87,BASIN_AUSSP
GTC_0027,1,115.56311490434,-21.5860490834581,BASIN_AUSSP,Australia and South Pacific,48,6175.29305819008,14,9.625,0.341463414634146,66.82,4.18373454501212,6.87633962443468,8.31974993078092,3.79546471880843,0.512403817812093,4699024.09517729,760.939448686591,0.635010573271292,0.546602569732902,1,0.607843137254902,0.70642745627291,506.233838692699,492.426156094037,114.761491477001,4.29086577523893,1,3,1,48,48,0,none,113.5,118,-22.75,-20.25,113,118.5,-23.25,-19.75,0,88,88,BASIN_AUSSP
GTC_0016,33,120.543410253615,-19.5050461273263,BASIN_AUSSP,Australia and South Pacific,48,6161.84407445473,15,9.89583333333333,0.365853658536585,66.82,5.77582740016666,8.13734981462951,10.2919571178671,3.80999708275723,0.524598429049704,0,0,0.634670591586956,0.568521353444916,0,0.607843137254902,0.415126973420848,615.889177375364,570.729973556716,200.254780864168,2.85001921598986,1,2,1,47,47,0,none,117.75,122.75,-20.75,-17.25,117.25,123.25,-21.25,-16.75,0,89,89,BASIN_AUSSP
GTC_0067,85,123.261473989188,-17.2641377762809,BASIN_AUSSP,Australia and South Pacific,15,1595.93635401125,4,3.06666666666667,0.0975609756097561,64.25,5.56200423133483,4.9051717237107,12.3550217001037,92.5514933793749,0.367396595646379,0,0,0.4240505853009,0.173488269711265,0,0.558823529411765,0.210087777885863,213.400182449765,173.045193904093,98.7218797034117,1.75285554148654,0,0,1,14,14,0,none,122.25,123.75,-18,-16.25,121.75,124.25,-18.5,-15.75,0,90,90,BASIN_AUSSP
GTC_0075,73,124.663968782588,-15.9667250180001,BASIN_AUSSP,Australia and South Pacific,80,3559.42281415202,5,3.5,0.121951219512195,65.792,4.93491564012981,3.2075552600911,3.68718410297329,3.87229845178738,0.319864059211235,0,0,0.54910025594485,0.235408913366638,0,0.588235294117647,0.26280714594739,617.381944626342,539.542991856941,165.175837698571,3.26647649786134,0,0,1,80,80,0,none,123,127.5,-17.5,-13.5,122.5,128,-18,-13,0,91,91,BASIN_AUSSP
GTC_0082,83,128.435049057112,-15.1811405206598,BASIN_AUSSP,Australia and South Pacific,29,4150.27213352019,3,2.10344827586207,0.0731707317073171,65.792,4.02987583422617,6.53545500728867,6.66585470450037,8.75866672081377,0.315108930539266,0,0,0.573046066326619,0.0977035267116395,0,0.588235294117647,0.212514153361744,270.738476235577,181.495710414463,209.955643230581,1.15680774356114,0,0,1,29,29,0,none,127.25,129.25,-16,-14,126.75,129.75,-16.5,-13.5,0,92,92,BASIN_AUSSP
GTC_0041,58,133.056901527605,-12.2269676846956,BASIN_AUSSP,Australia and South Pacific,90,15115.1365584879,6,3.74444444444444,0.146341463414634,65.278,4.3214419170252,16.2716382908685,12.9185997230678,8.76991219507535,0.426903626503725,0,0,0.774604116773064,0.287762071614427,0,0.57843137254902,0.327868789255286,574.275361591486,519.111119597819,250.350109123538,2.07354061643991,1,3,1,79,79,0,none,131,136,-13.25,-10.75,130.5,136.5,-13.75,-10.25,0,93,93,BASIN_AUSSP
GTC_0057,63,135.847529539359,-13.9769466267395,BASIN_AUSSP,Australia and South Pacific,74,7936.07014142417,7,4.56756756756757,0.170731707317073,61.68,4.78896563526255,10.0815843273652,11.0132228837249,3.86625223350288,0.383971153352513,0,0,0.674130058604685,0.333112440078278,0,0.509803921568628,0.319051379909111,544.762034820087,490.737670679441,244.176400603029,2.00976699413823,1,1,1,66,66,0,none,134.25,137,-15.75,-11.25,133.75,137.5,-16.25,-10.75,0,94,94,BASIN_AUSSP
GTC_0062,75,137.005310929446,-16.0187948217315,BASIN_AUSSP,Australia and South Pacific,22,4060.50585312048,5,3.27272727272727,0.121951219512195,61.68,4.10945611298249,7.70699755009633,8.01072670145795,8.47934079393504,0.425947422356384,0,0,0.569636563034208,0.235408913366638,0,0.509803921568628,0.25907127011036,233.288875905202,217.336126099302,85.8995025780309,2.53012089216552,1,1,1,21,21,0,none,136,138,-16.75,-15.25,135.5,138.5,-17.25,-14.75,0,95,95,BASIN_AUSSP
GTC_0059,59,141.544231988829,-15.2025296312491,BASIN_AUSSP,Australia and South Pacific,64,16711.575873418,7,4.25,0.170731707317073,53.97,4.88529236329039,13.8969473486727,12.6535807147007,3.85008041925363,0.420571790622583,0,0,0.790262560819344,0.333112440078278,0,0.362745098039216,0.327571997999101,687.082313012682,684.656450662468,102.726051735506,6.66487652446033,1,3,1,58,58,0,none,140.75,142.5,-17.75,-11.5,140.25,143,-18.25,-11,0,96,96,BASIN_AUSSP
GTC_0053,68,144.226384765034,-14.4788421200995,BASIN_AUSSP,Australia and South Pacific,52,3673.54209169609,6,3.65384615384615,0.146341463414634,64.25,4.88300138329153,7.14435108705602,9.55221053046929,3.86818452085796,0.339960604022256,0,0,0.554020756411466,0.287762071614427,0,0.558823529411765,0.28179133286924,717.128061266621,715.70773524835,148.589895748146,4.81666489935121,1,2,1,51,51,0,none,142.75,146,-17.5,-11.5,142.25,146.5,-18,-11,0,97,97,BASIN_AUSSP
