model_domain_id,rank_domain,lon,lat,basin_id,basin_label,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,tc_landfall_count_mean,tc_landfall_per_year_max,tc_landfall_max_wind_ms,mean_elevation_m,mean_coast_distance_km,mean_osm_coast_distance_km,nearest_landfall_km,screen_score_mean,population_sum_2020,population_density_per_lowland_km2,area_priority,tc_frequency_priority,population_priority,wind_priority,priority,span_km,alongshore_length_km,cross_shore_width_km,aspect_ratio,contains_estuary_proxy,estuary_proxy_count,domain_ocean_connected,ocean_connected_cell_count,osm_coast_contact_cell_count,exceeds_nominal_size_limits,limit_exception_reason,lon_min,lon_max,lat_min,lat_max,suggested_bbox_lon_min,suggested_bbox_lon_max,suggested_bbox_lat_min,suggested_bbox_lat_max,crosses_dateline,plot_rank,position_connected_rank,quicklook_basin_id
GTC_0052,67,-83.2336197128658,29.5333320489412,BASIN_NA,North American East and West Coasts,34,5404.19952339969,5,4.14705882352941,0.121951219512195,71.96,4.46491759540385,11.5758600929138,11.8178820442423,8.67738384482211,0.403068190734583,0,0,0.614211874745253,0.235408913366638,0,0.705882352941176,0.287594175589823,311.545180103099,289.533291803954,126.021207597197,2.29749656684288,0,0,1,26,26,0,none,-84.5,-82,28.25,30.5,-85,-81.5,27.75,31,0,12,12,BASIN_NA
GTC_0039,38,-90.5949693037017,19.8566122210754,BASIN_NA,North American East and West Coasts,46,13944.0893305309,9,4.43478260869565,0.219512195121951,71.96,4.56148960018812,16.7996419114516,15.8891711250948,3.80118815487726,0.468760278901631,0,0,0.762028005241504,0.408897183077904,0,0.705882352941176,0.38655270957358,479.117638967718,417.620634824903,144.850877481071,2.88310738662579,1,2,1,36,36,0,none,-92.25,-89,18,21.5,-92.75,-88.5,17.5,22,0,13,13,BASIN_NA
GTC_0025,36,-87.8678931796509,21.2179052119023,BASIN_NA,North American East and West Coasts,45,9429.83982530849,10,7.84444444444444,0.24390243902439,77.1,5.91861903207412,14.7239971753286,14.8262290248425,3.79845884508144,0.534878851137261,0,0,0.70102440958159,0.44126673818796,0,0.803921568627451,0.397103734054247,317.495102820136,295.0375215967,142.981530764459,2.06346595968909,1,1,1,34,34,0,none,-89.5,-86.5,20.25,21.75,-90,-86,19.75,22.25,0,14,14,BASIN_NA
GTC_0013,34,-87.872852991496,19.1405609715041,BASIN_NA,North American East and West Coasts,38,9465.00411480441,11,9.39473684210526,0.268292682926829,77.1,3.81800957835838,12.679235499309,12.8055018088878,8.29806352462492,0.601448429095725,0,0,0.701604858148483,0.470817826733276,0,0.803921568627451,0.409040259185752,296.006622387676,262.53241483372,103.43042195865,2.53825141445017,1,1,1,30,30,0,none,-88.75,-87,18,20.5,-89.25,-86.5,17.5,21,0,15,15,BASIN_NA
GTC_0032,54,-88.5742912937178,16.9433045042894,BASIN_NA,North American East and West Coasts,45,6161.06286672582,7,5.08888888888889,0.170731707317073,77.1,4.82665045963995,19.7096903320846,21.2675363095792,3.84236578388116,0.46625533136337,0,0,0.634650820363037,0.333112440078278,0,0.803921568627451,0.340567296966663,372.926739107443,334.714344929141,155.892812736342,2.1470800292457,1,1,1,31,31,0,none,-89.75,-87.5,15.25,18.25,-90.25,-87,14.75,18.75,0,16,16,BASIN_NA
GTC_0051,66,-85.1806556368242,15.6032803542476,BASIN_NA,North American East and West Coasts,39,5511.78380106445,5,2.94871794871795,0.121951219512195,71.96,4.40110383930625,8.53735202771058,10.0295355364627,3.85677859781609,0.386824527339319,0,0,0.617285642924665,0.235408913366638,0,0.705882352941176,0.288208929225706,502.144055690816,488.922542408219,113.200510254553,4.31908426303718,0,0,1,38,38,0,none,-88.25,-83.5,14.75,16.25,-88.75,-83,14.25,16.75,0,17,17,BASIN_NA
GTC_0028,45,-83.661420121303,13.222036483232,BASIN_NA,North American East and West Coasts,64,10863.2701038431,8,5.40625,0.195121951219512,71.96,4.58903105114251,16.3239162559315,19.4031409707346,3.87643473611676,0.46886882912863,0,0,0.72309223620778,0.373114300021637,0,0.705882352941176,0.364452402544328,588.021328602685,561.060744279904,180.974481455327,3.10022020656211,1,1,1,45,45,0,none,-84.5,-82.5,10.25,15.5,-85,-82,9.75,16,0,18,18,BASIN_NA
GTC_0088,93,-85.4588276811173,10.5352375697951,BASIN_NA,North American East and West Coasts,16,599.875138836764,3,2.375,0.0731707317073171,61.68,5.68222661935285,12.3829273491126,8.70919353750059,47.1581484815042,0.21186385146725,0,0,0.271604067288267,0.0977035267116395,0,0.509803921568628,0.144382616299172,234.163446688913,233.567094117812,74.9662661068954,3.11562928564117,1,1,1,16,16,0,none,-86.75,-85,10.25,12,-87.25,-84.5,9.75,12.5,0,19,19,BASIN_NA
GTC_0031,40,-82.200020663436,22.3185740827959,BASIN_NA,North American East and West Coasts,88,12383.7249351356,9,7.18181818181818,0.219512195121951,69.39,3.95404791878126,7.88910680436034,8.74051405132851,3.78014158379062,0.501234009210112,0,0,0.743520916822018,0.408897183077904,0,0.656862745098039,0.377949331105369,514.12070102463,478.430496530454,200.132704647246,2.39056628637351,1,3,1,87,87,0,none,-85,-80.25,21.25,23.5,-85.5,-79.75,20.75,24,0,20,20,BASIN_NA
GTC_0050,52,-77.9585499451723,21.556763601469,BASIN_NA,North American East and West Coasts,117,11764.2341681734,7,5.43589743589744,0.170731707317073,66.82,4.19496547575465,5.01336020279016,6.84032008153289,3.80118815487726,0.420893482579222,0,0,0.735517703466669,0.333112440078278,0,0.607843137254902,0.341132830450135,718.876573515784,704.824215313648,231.00068310096,3.05117805649778,1,4,1,116,116,0,none,-80.25,-74,19.75,23.25,-80.75,-73.5,19.25,23.75,0,21,21,BASIN_NA
