estuary_proxy_id,source_connected_group,lon,lat,grid_cell_count,lowlying_area_km2,tc_landfall_count_max,mean_coast_distance_km,span_km
EST_0001,1,178.113457529498,-17.8043174131788,34,953.731463047694,8,2.28392551061823,289.778087989624
EST_0002,1,179.417868217945,-16.5727653828844,28,569.111236545882,8,1.73025395099825,274.194177453927
EST_0003,2,-113.505217341742,27.1790752215549,27,2684.47958315845,6,5.24011389155655,297.985018739649
EST_0004,2,-110.654337905309,24.0428201015847,32,534.346745346414,14,1.45869634779427,319.202666445197
EST_0005,2,-112.034678217077,25.0160087636001,15,1438.68653356742,11,4.55655534516104,208.985729411388
EST_0006,3,-105.514699869905,22.1511836493078,22,4210.49773448276,8,12.047276714585,270.860843302302
EST_0007,3,-107.879253462076,24.8049387650363,23,3978.03368149054,12,5.35767238803494,263.101294627199
EST_0008,3,-109.26210761557,26.1007080705022,20,3430.24103395731,14,5.71985148438738,208.55998459181
EST_0009,3,-106.314049015342,23.2045180304242,5,397.072486236833,8,2.8455206974471,75.5983427351426
EST_0010,3,-110.423131960548,27.508229728664,16,2568.96050279036,6,5.50600273479783,203.216443068158
EST_0011,4,-90.726472832719,29.8955628189665,63,22321.5147588049,16,16.5422365819545,293.415439977233
EST_0012,4,-93.4743295250039,29.9901851315101,44,16438.8203069118,15,27.194487847204,265.502916619494
EST_0013,4,-92.053242118199,30.0831247292661,5,2211.44863535641,13,33.4165359057479,86.8935431730658
EST_0014,4,-80.8050125458283,26.2585783185942,55,28121.7896203502,10,29.3994948726714,291.821708310113
EST_0015,4,-97.5853550907027,25.738364143259,31,8459.30911433589,9,13.4354466158,269.796972446156
EST_0016,4,-76.7733713191449,35.3355592002112,55,12458.6511856105,13,15.6227567344231,316.730466926116
EST_0017,4,-79.606510499906,33.2469457573922,38,7717.29454359006,14,27.2728003755359,286.449448704627
EST_0018,4,-87.9688954608177,30.6506844082556,42,4872.23904358171,14,18.6596133397553,276.91916623454
EST_0019,4,-78.10881605465,34.2670974761616,7,1084.29752932953,15,31.4657332085812,108.311115155491
EST_0020,4,-95.7124368201392,29.0198058304994,31,6233.6686541136,10,17.9400930200803,258.787060094802
EST_0021,4,-76.4060360721364,36.6614799375357,44,8194.27256639095,10,16.8970189470532,299.896569730239
EST_0022,5,-87.872852991496,19.140560971504,38,9465.00411480441,11,18.2052525414191,296.006622387676
EST_0023,5,-90.0609462663764,20.6624602466569,28,8516.05668327,9,23.4600346625147,287.739774252005
