grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id,model_domain_id
LLC_421_1204,421,1204,120.875,15.125,491.817065921168,592,6.17821005976665,1.28999996185303,38.8563814740604,47,1.14634146341463,71.96,44.5430972222222,8.76093025309476,33,0.934327633022483,0.941635653466553,0.714285714285715,0.904244553389596,1,10,200,40.1527214050293,1,0,0,0,0,0,0,EST_0094,GTC_0001
LLC_420_1204,420,1204,120.875,14.875,444.137716233125,534,3.68779654907739,-1,13.5896095017116,45,1.09756097560976,71.96,44.4921515151515,19.6436073228107,33,0.917825907069261,0.927181417967047,0.714285714285715,0.891037082510844,2,10,200,12.7784175872803,1,1,1,0,0,0,0,EST_0094,GTC_0001
LLC_424_1202,424,1202,120.375,15.875,434.513118528302,525,6.1887172928628,0,18.4350502896127,45,1.09756097560976,71.96,44.5262089552239,18.923737894032,33,0.914281018565571,0.927181417967047,0.714285714285715,0.889441882684183,3,10,200,21.7500400543213,1,1,1,0,0,0,0,EST_0094,GTC_0001
LLC_415_1213,415,1213,123.125,13.625,392.215512135253,469,3.38994497908338,0,6.94571185761917,34,0.829268292682927,87.38,50.2381458333333,14.1596604502014,33,0.897712356502771,0.834364641347329,1,0.887716416965179,4,10,200,11.4459962844849,1,1,1,0,0,0,0,,GTC_0002
LLC_420_1203,420,1203,120.625,14.875,315.997689569194,380,2.40202400479801,-0.5,13.0700797680265,45,1.09756097560976,71.96,44.497140625,21.0611538436215,33,0.862770186527505,0.927181417967047,0.714285714285715,0.866262008267053,5,10,200,7.14017343521118,1,1,1,0,0,0,0,EST_0094,GTC_0001
LLC_455_1201,455,1201,120.125,23.625,238.913017801511,303,2.1428569535412,-9,5.32592345521447,47,1.14634146341463,71.96,44.43016,3.77024245671119,33,0.817586078658404,0.941635653466553,0.714285714285715,0.85171085392576,6,10,200,1.05912387371063,1,1,1,0,0,0,0,EST_0101,GTC_0003
LLC_453_1201,453,1201,120.125,23.125,384.600119257183,486,3.21709165802766,-2,6.17083779530464,35,0.853658536585366,71.96,45.6593707865169,15.2654460549458,33,0.894540759860323,0.843932126754913,0.714285714285715,0.847259049781968,7,10,200,6.74594402313232,1,1,1,0,0,0,0,EST_0101,GTC_0003
LLC_455_1202,455,1202,120.375,23.625,214.452506847675,272,7.149137223495,3,12.9495343081973,48,1.17073170731707,71.96,44.5321692307692,14.1305906153308,33,0.800146737927686,0.948638443250491,0.714285714285715,0.846664266510512,8,10,200,20.8100109100342,1,1,1,0,0,0,0,EST_0101,GTC_0003
LLC_456_1202,456,1202,120.375,23.875,200.648292769682,255,6.18596823307024,0,3.77124845171306,48,1.17073170731707,71.96,44.2227591240876,11.2989544654314,33,0.789408432406823,0.948638443250491,0.714285714285715,0.841832029026124,9,10,200,7.93346309661865,1,1,1,0,0,0,0,EST_0101,GTC_0003
LLC_425_1202,425,1202,120.375,16.125,196.822260018864,238,3.59872414147846,0,5.22381907880723,47,1.14634146341463,71.96,44.5972878787879,13.6380279751852,33,0.786301844505365,0.941635653466553,0.714285714285715,0.837632948556893,10,10,200,1.0309202671051,1,1,1,0,0,0,0,EST_0094,GTC_0001
