lon,lat
-55.2484399449011,40.7224705608251
-55.2718033093396,40.7225092524349
-55.7217696246049,40.7306442145261
-55.743928875246,40.7313908813425
-56.1944800139409,40.7536251817378
-56.2152121920296,40.7549539667719
-56.6654300996871,40.7904758914934
-56.6841949878159,40.792210408741
-57.1330530529181,40.8398093781086
-57.1518498454087,40.8420622552196
-57.5990360856809,40.9018801346663
-57.6166117157126,40.9044633712814
-58.0613669422434,40.975759096488
-58.0784030345004,40.978714102866
-58.5199024763124,41.0611581197543
-58.5353640665097,41.0642354870737
-58.973209224976,41.1568204672211
-58.9870454926881,41.1599032507281
-59.4204242728141,41.2614313764018
-59.4350110409758,41.2650289807856
-59.8631813326487,41.375989437487
-59.8777564181264,41.3799536106814
-60.3006245106707,41.5004673927511
-60.3140108052396,41.5044467689638
-60.7312084160523,41.6336632562078
-60.7442047067965,41.637850221533
-61.1554648995142,41.7755372400382
-61.1669460141026,41.779512887451
-61.5721290692463,41.9245385291147
-61.5855064630444,41.9295141813784
-61.9837669191485,42.0833303269947
-62.001783323698,42.0906509776415
-62.3858255012822,42.2546376088847
-62.3945891814272,42.2584821359239
-62.4074091204971,42.2644780737608
-62.7673780675055,42.4391589755754
-62.7779618470355,42.4444613410982
-62.7900115254905,42.4509194729702
-63.1250972240724,42.6370186546986
-63.1317283478012,42.6407804366785
-63.1434576266161,42.6478198161251
-63.4586875869386,42.8437518344507
-63.47395565828,42.8536806373612
-63.7754979278946,43.0588328734374
-63.785460632632,43.0658218856544
-64.0788381876779,43.2780475532793
-64.0880259169407,43.2848916003508
-64.3729479414684,43.5034699238326
-64.3797542601849,43.5088103711018
-64.658559847496,43.7325729585074
-64.6639827676028,43.7370066680834
-64.9380154162253,43.9652588430745
-64.9398652336329,43.9668096118492
-65.2116785335258,44.1961595836422
-65.2121802203881,44.1965803034589
-65.4824416712521,44.4218383594237
-65.4839239398815,44.4230519892297
-65.7532262993761,44.6396680930745
-65.7557183907414,44.6416155186943
-66.0256266513375,44.8465511016982
-66.0286295754848,44.8487563949968
-66.3068154867307,45.0463740646878
-66.3080528832107,45.0472564729702
-66.5898321604575,45.2489724647058
-66.5960279680836,45.2534952776774
-66.8712306807509,45.4583558375049
-66.8781302736318,45.4636079690177
-67.1459016299996,45.6720628373253
-67.1540390318162,45.6785731021474
-67.4123148724229,45.890956876851
-67.420303158286,45.8977125341452
