lon,lat
-53.0000000001067,45.9258444125045
-53.7500000000124,45.9258444125045
-53.7781486822141,45.9262343060546
-53.8016931312958,45.9271606792131
-53.8251746003492,45.9286326756198
-53.8485644807383,45.9306485017966
-53.8718342755903,45.9332057018505
-53.8949556339866,45.9363011602587
-53.9179003863699,45.9399311055516
-53.9406405779248,45.9440911152533
-53.9631485033096,45.9487761210923
-53.985396740036,45.9539804151096
-54.0073581821204,45.9596976566655
-54.0290060730578,45.9659208800755
-54.0503140378517,45.9726425034136
-54.0712561163933,45.9798543373158
-54.0918067937343,45.9875475954006
-54.1119410322504,45.9957129045994
-54.1316343013729,46.0043403166547
-54.1508626078605,46.0134193204276
-54.1696025249904,46.0229388545634
-54.1878312210733,46.0328873209666
-54.2055264871573,46.0432525989939
-54.2226667645977,46.054022060097
-54.2392311701931,46.0651825834531
-54.2551995230787,46.0767205715056
-54.2705523681064,46.0886219672116
-54.2852710003054,46.1008722703018
-54.2993374873159,46.113456555875
-54.312734691147,46.1263594919152
-54.3693026969866,46.1829274976644
-54.3718342758428,46.1832057018505
-54.3949556342391,46.1863011602587
-54.4179003866224,46.1899311055516
-54.4406405781773,46.1940911153432
-54.4631485035621,46.1987761211822
-54.4853967402885,46.2039804151994
-54.507358182508,46.2096976566655
-54.5290060733103,46.2159208800755
-54.5503140381042,46.2226425034136
-54.5712561166458,46.2298543374057
-54.5918067939868,46.2375475954905
-54.6119410325029,46.2457129045994
-54.6249622092412,46.2514173438735
-54.6419263059628,46.2440944591268
-54.662143161963,46.2360198509702
-54.6827716444904,46.2284191552282
-54.7037866209154,46.2213016321416
-54.7251624877711,46.2146759532878
-54.746873201701,46.2085501910708
-54.7688923116231,46.2029318088394
-54.7911929907582,46.1978276517248
-54.813748069065,46.1932439381962
-54.8365300666197,46.1891862530543
-54.8595112271315,46.1856595397054
-54.8826635515936,46.1826680951312
-54.9059588323383,46.1802155637801
-54.9293686879049,46.1783049337945
-54.9528645966892,46.176938532968
-54.9764179327572,46.1761180259612
-55.0000000000356,46.1758444125045
-56.4999999999822,46.1758444125045
-56.528148682319,46.1762343060546
-56.5516931315358,46.1771606792131
-56.5751746005892,46.1786326756198
-56.5985644809784,46.1806485017966
-56.6218342756952,46.1832057018505
-56.6449556340915,46.1863011602587
-56.6679003864748,46.1899311055516
-56.6906405780297,46.1940911153432
-56.7131485034145,46.1987761211822
-56.7353967401409,46.2039804151994
-56.7573581823604,46.2096976566655
-56.7790060731627,46.2159208800755
-56.8003140379566,46.2226425034136
-56.8212561164982,46.2298543374057
-56.8418067938392,46.2375475954905
-56.8619410323553,46.2457129045994
-56.8816343014778,46.2543403167445
-56.9008626079654,46.2634193205174
-56.9196025250953,46.2729388546533
-56.9378312211782,46.2828873210564
-56.9555264872622,46.2932525990837
-56.9726667645675,46.3040220601868
-56.989231170298,46.3151825835429
-57.0051995231836,46.3267205715954
-57.0205523682113,46.3386219673015
-57.0352710004103,46.3508722703917
-57.0493374874208,46.3634565559648
-57.0627346911168,46.376359492005
-57.1877346910785,46.501359492005
-57.1980376965752,46.5119838015631
-57.2101852091808,46.5254222062522
-57.2216197637184,46.5391342243981
-57.2323274289992,46.553103150018
-57.2422951594246,46.5673119641574
-57.2515108107982,46.5817433554617
-57.2599631551912,46.5963797415559
-57.2676418947273,46.6112032903342
-57.2745376742857,46.6261959415199
-57.2806420920425,46.6413394288538
-57.2859477110931,46.6566153023715
-57.2904480670199,46.6720049507725
-57.294137677082,46.6874896240568
-57.2970120458916,46.7030504567014
-57.2990676714949,46.7186684900287
-57.3003020495619,46.7343246960115
-57.3007136760891,46.75
-57.3007136760891,46.9258444125045
-59.4999999998755,46.9258444125045
-59.528148681942,46.9262343060546
-59.5516931310237,46.9271606792131
-59.5751746000771,46.9286326756198
-59.5985644804662,46.9306485017966
-59.6218342751831,46.9332057018505
-59.6449556337145,46.9363011601689
-59.6679003859626,46.9399311055516
-59.6906405776527,46.9440911152533
-59.7131485030375,46.9487761210923
-59.735396739764,46.9539804151096
-59.7573581818483,46.9596976565756
-59.7790060726506,46.9659208799856
-59.8003140375796,46.9726425033238
-59.8212561161212,46.9798543373158
-59.8418067934622,46.9875475954006
-59.8619410319783,46.9957129045095
-59.8816343011008,47.0043403165649
-59.9008626075884,47.0134193203378
-59.9196025247184,47.0229388544736
-59.9378312208012,47.0328873208768
-59.9555264868852,47.0432525989041
-59.9726667643257,47.054022060097
-59.989231169921,47.0651825833633
-60.0051995228066,47.0767205714157
-60.0205523679695,47.0886219671218
-60.0352710001685,47.100872270212
-60.0493374870438,47.1134565557851
-60.0627346908749,47.1263594918254
-60.1877346909718,47.2513594918254
-60.1980376966036,47.2619838015631
-60.2101852092092,47.2754222062522
-60.2216197637468,47.2891342243981
-60.2323274290276,47.303103150018
-60.2422951594531,47.3173119641574
-60.2515108108266,47.3317433554617
-60.2599631552197,47.3463797415559
-60.2676418947557,47.3612032903342
-60.2745376743141,47.3761959415199
