block_id,basin_id,basin_label,model_domain_id,rank_domain,domain_lon,domain_lat,domain_priority,domain_grid_cell_count
ADC_WNP_05,BASIN_WNP,Western North Pacific and East Asia,GTC_0004,7,121.370732963539,18.0559088976202,0.57049224033549,42
ADC_WNP_05,BASIN_WNP,Western North Pacific and East Asia,GTC_0001,6,120.466936876314,15.5289322720134,0.573768840469941,25
ADC_WNP_05,BASIN_WNP,Western North Pacific and East Asia,GTC_0002,3,121.8171903748,13.7190392900104,0.601512139197299,110
ADC_WNP_06,BASIN_WNP,Western North Pacific and East Asia,GTC_0014,15,116.557067204273,23.4591095425794,0.512020313973925,52
ADC_WNP_06,BASIN_WNP,Western North Pacific and East Asia,GTC_0007,11,120.345336687455,27.20451245204,0.539292601393554,70
ADC_WNP_06,BASIN_WNP,Western North Pacific and East Asia,GTC_0003,9,120.498489284716,23.6207991297487,0.553224211664856,36
ADC_WNP_07,BASIN_WNP,Western North Pacific and East Asia,GTC_0042,28,120.626410968782,31.3907191993884,0.42743632825163,150
ADC_WNP_08,BASIN_WNP,Western North Pacific and East Asia,GTC_0084,90,125.391650233537,38.8619963653787,0.189980084331809,55
ADC_WNP_08,BASIN_WNP,Western North Pacific and East Asia,GTC_0045,42,127.210949509617,36.1164892164008,0.376229203594143,139
ADC_WNP_09,BASIN_WNP,Western North Pacific and East Asia,GTC_0011,20,130.864416322467,33.0544899830171,0.479970774365743,128
ADC_WNP_10,BASIN_WNP,Western North Pacific and East Asia,GTC_0074,56,140.780838876621,39.4928899663231,0.337736486331139,79
ADC_WNP_10,BASIN_WNP,Western North Pacific and East Asia,GTC_0097,97,142.743912868028,42.3424547546481,0,12
ADC_WNP_11,BASIN_WNP,Western North Pacific and East Asia,GTC_0061,23,135.500681433047,36.1009507122853,0.46372138954288,59
ADC_WNP_11,BASIN_WNP,Western North Pacific and East Asia,GTC_0047,64,139.138265042396,37.9290207736062,0.314955908094089,18
ADC_WNP_12,BASIN_WNP,Western North Pacific and East Asia,GTC_0017,4,135.570600467133,34.6328170754885,0.593956939114336,86
ADC_WNP_12,BASIN_WNP,Western North Pacific and East Asia,GTC_0022,30,140.006373372476,35.7399557488548,0.419396375741797,47
