"block_id","basin_id","basin_label","center_lon","center_lat","domain_count","grid_cell_count","coastal_cell_span_km","inner_refinement_area_km2","outer_adcirc_area_km2","inner_along_half_km","inner_cross_half_km","outer_along_half_km","outer_cross_half_km","shelf_width_km","outer_buffer_km","shelf_add_area_km2","shelf_add_cell_count","shelf_add_component_count","bay_add_area_km2","bay_add_cell_count","bay_add_core_cell_count","bay_add_component_count","auto_alongshore_radius_deg","auto_offshore_deg","auto_inner_radius_deg","open_ocean_area_risk","outer_geojson","inner_geojson","outer_ring_csv","inner_ring_csv"
"ADC_NA_07","BASIN_NA","North American East and West Coasts","-85.4588276811173","10.5352375697951","1","16","293.684840267038","67678.0046360306","740870.532998173","196.677888592442","118.051821611805","512.831478191687","472.259753764305","250","430","0","0","0","400643.243634263","395","395","2","4.60682247746755","4.24236214304981","1.76677945196229","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_07_outer_ring.csv","block_boundaries/ADC_NA_07_inner_ring.csv"
"ADC_NA_08","BASIN_NA","North American East and West Coasts","-88.9556837008837","19.5517474432393","4","174","814.65049727812","351065.630176362","3503189.12032559","445.333417918577","346.127202342998","987.128560914344","1182.91655007547","250","430","0","0","0","1821489.48417757","2436","2436","4","8.86748617422156","7","4.00047985913202","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_08_outer_ring.csv","block_boundaries/ADC_NA_08_inner_ring.csv"
"ADC_NA_09","BASIN_NA","North American East and West Coasts","-89.9400717485337","30.0877322679761","1","171","830.465902541102","285484.465574664","2715643.51405631","462.827945221543","251.027030083505","999.991013891322","926.931013133472","250","430","0","0","0","1416010.27911355","2099","2099","3","8.98303102669172","7","4.15763515290643","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_09_outer_ring.csv","block_boundaries/ADC_NA_09_inner_ring.csv"
"ADC_NA_10","BASIN_NA","North American East and West Coasts","-82.200020663436","22.3185740827959","1","88","541.301820312979","175527.698126696","2857897.4167946","318.227351995335","180.119831211316","919.087402839923","1045.14356668471","250","430","0","0","0","943368.115068075","1220","1220","3","8.25626484764573","7","2.85867186485209","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_10_outer_ring.csv","block_boundaries/ADC_NA_10_inner_ring.csv"
"ADC_NA_11","BASIN_NA","North American East and West Coasts","-77.9218455705984","22.1658407573007","3","174","979.490461065737","407448.442315623","4637482.26711467","536.641282482824","365.074733311256","1457.08363162823","1093.17543606638","250","430","0","0","0","2341987.98278304","2797","2797","6","12","7","4.82070861015831","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_11_outer_ring.csv","block_boundaries/ADC_NA_11_inner_ring.csv"
"ADC_NA_12","BASIN_NA","North American East and West Coasts","-81.0155548314955","28.6871621365304","6","244","1232.4043388736","440154.736758594","3362152.24063075","665.494841676955","352.535454663335","1328.76893469599","1015.58223427998","250","430","35537.2634117546","47","1","944359.198133306","767","767","3","11.9364798301832","7","5.97821453177287","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_12_outer_ring.csv","block_boundaries/ADC_NA_12_inner_ring.csv"
"ADC_NA_13","BASIN_NA","North American East and West Coasts","-70.2430008103061","18.8242851429394","3","129","1004.45077541769","309653.837967681","4575436.35068082","551.832238510415","211.586219020103","1368.35450988478","1147.70708237675","250","430","0","0","0","1613687.92591787","1913","1913","4","12","7","4.95717066574214","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_13_outer_ring.csv","block_boundaries/ADC_NA_13_inner_ring.csv"
"ADC_NA_14","BASIN_NA","North American East and West Coasts","-75.9646033632862","37.1409916719683","3","240","1320.29884888022","382520.382137931","1954496.01810954","709.930329233129","244.521175218081","1157.36675229914","548.078761230392","250","430","0","0","0","279854.568217669","267","267","1","10.3967548715338","4.92345275988494","6.37738348215171","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_14_outer_ring.csv","block_boundaries/ADC_NA_14_inner_ring.csv"
"ADC_NA_15","BASIN_NA","North American East and West Coasts","-64.0881626616015","45.5295105919905","3","214","763.602067914535","293954.536227986","2165388.69794084","431.377649367164","255.057566114032","1038.79730664487","721.850748704907","250","430","0","0","0","795716.098596385","740","740","3","9.33163229109661","6.4844659423725","3.8751136306788","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_15_outer_ring.csv","block_boundaries/ADC_NA_15_inner_ring.csv"
"ADC_NA_16","BASIN_NA","North American East and West Coasts","-54.898599622552","48.3396974715917","1","136","537.191200467369","214844.409771091","1972248.91544625","318.588458739073","277.988203252518","822.998339434863","849.579438603502","250","430","0","0","0","193579.195138289","256","256","1","7.39308605313388","7","2.86191572708474","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NA_16_outer_ring.csv","block_boundaries/ADC_NA_16_inner_ring.csv"
"ADC_NIO_01","BASIN_NIO","North Indian Ocean","58.402852186574","20.5501136400928","1","15","229.42833116779","57711.193253247","3903185.19247914","164.60229490345","117.776965714736","1489.01495954272","1256.08692544276","250","430","0","0","0","1493321.15988555","2056","2056","4","12","7","1.5","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NIO_01_outer_ring.csv","block_boundaries/ADC_NIO_01_inner_ring.csv"
"ADC_NIO_02","BASIN_NIO","North Indian Ocean","70.0818804718126","23.6880667164184","2","113","550.435812123225","218080.508413824","3089586.62223329","316.556143860082","266.109667468193","1038.85652399801","1150.15203248461","250","430","0","0","0","943535.463071967","1043","1043","3","9.33216424719737","7","2.84365921541575","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NIO_02_outer_ring.csv","block_boundaries/ADC_NIO_02_inner_ring.csv"
"ADC_NIO_03","BASIN_NIO","North Indian Ocean","80.7068483477283","14.1367134786523","3","128","1261.63206757089","327515.194395063","4328113.75167285","673.899476297536","252.964551862851","1489.76939705206","1206.74961827054","250","430","43392.2123733289","44","1","749261.390249297","1012","1012","2","12","7","6.05371430378671","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NIO_03_outer_ring.csv","block_boundaries/ADC_NIO_03_inner_ring.csv"
"ADC_NIO_04","BASIN_NIO","North Indian Ocean","89.8315293507417","21.9845632828411","3","280","1202.97003338075","484539.354104862","3813873.71983769","648.26577245491","440.375597797761","1231.647904833","1200.04593006566","250","430","43171.3362538972","58","1","1119854.95727679","1601","1601","3","11.0640307656576","7","5.82344387760429","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NIO_04_outer_ring.csv","block_boundaries/ADC_NIO_04_inner_ring.csv"
"ADC_NIO_05","BASIN_NIO","North Indian Ocean","95.9164534372114","16.6962638524803","1","83","508.045764936389","162010.672113826","2397151.5297573","302.438871324427","185.977004271695","680.714409377895","1268.76985896192","250","430","0","0","0","1085262.01483459","1676","1676","3","6.11493360921573","7","2.71684217862403","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_NIO_05_outer_ring.csv","block_boundaries/ADC_NIO_05_inner_ring.csv"
"ADC_SIO_01","BASIN_SIO","South Indian Ocean","36.5643829176754","-18.4029734262096","3","128","1380.53686183933","333834.971865248","3376514.85945033","731.09721066633","256.40446389726","1493.14619791567","773.797219241911","250","430","0","0","0","639765.939667932","533","533","2","12","6.95110689221982","6.56752794346326","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_SIO_01_outer_ring.csv","block_boundaries/ADC_SIO_01_inner_ring.csv"
"ADC_SIO_02","BASIN_SIO","South Indian Ocean","44.1539498410321","-19.612667368111","3","80","1118.12798478508","251826.645970152","3868315.72490128","608.99676031314","182.869471985557","1352.86265550019","977.73901387914","250","430","0","0","0","601715.17257076","599","599","3","12","7","5.47068595322619","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_SIO_02_outer_ring.csv","block_boundaries/ADC_SIO_02_inner_ring.csv"
"ADC_SIO_03","BASIN_SIO","South Indian Ocean","48.1309549106355","-16.823075838973","5","172","1498.85253384958","454318.102287239","5561390.06375283","797.97246839624","342.655075907406","1498.87501079047","1218.61781981475","250","430","0","0","0","1032719.31975788","1103","1103","3","12","7","7","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_SIO_03_outer_ring.csv","block_boundaries/ADC_SIO_03_inner_ring.csv"
"ADC_WNP_01","BASIN_WNP","Western North Pacific and East Asia","106.694016829497","19.0033162272334","4","158","1325.09408092594","379067.481769601","5260019.10122287","711.380348802511","285.176940725474","1473.05616829186","1388.34812867467","250","430","0","0","0","1673501.33365552","2957","2957","2","12","7","6.39040916998303","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_01_outer_ring.csv","block_boundaries/ADC_WNP_01_inner_ring.csv"
"ADC_WNP_02","BASIN_WNP","Western North Pacific and East Asia","119.506225144577","10.8678014258857","1","38","409.260106103138","109374.499288348","4694179.79839445","254.179414730502","154.96562492433","1254.8413009757","1577.20882293514","250","430","0","0","0","1547389.14785637","2350","2350","5","11.2723796350674","7","2.28332208705087","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_02_outer_ring.csv","block_boundaries/ADC_WNP_02_inner_ring.csv"
"ADC_WNP_03","BASIN_WNP","Western North Pacific and East Asia","124.209729810945","10.9090661569485","4","234","799.55857000305","383116.597811091","5584019.80568031","449.589990401969","306.992829723835","1677.51579627222","1300.00170125254","250","430","0","0","0","1957171.47220576","2056","2056","6","12","7","4.03871712542193","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_03_outer_ring.csv","block_boundaries/ADC_WNP_03_inner_ring.csv"
"ADC_WNP_04","BASIN_WNP","Western North Pacific and East Asia","112.079843966394","21.9577474535245","2","171","854.377774858695","331247.033310235","4030047.75283557","475.817901141894","283.783975854496","1199.15119571486","1282.13908016179","250","430","0","0","0","1739274.9903097","2355","2355","4","10.772109196145","7","4.27432537856534","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_04_outer_ring.csv","block_boundaries/ADC_WNP_04_inner_ring.csv"
"ADC_WNP_05","BASIN_WNP","Western North Pacific and East Asia","121.27981234295","15.0995520221551","3","177","924.657461034285","377661.362707149","6103244.96635409","511.36202759173","279.663715010757","1663.60904668266","1458.85163618591","250","430","0","0","0","2265425.38244966","3509","3509","5","12","7","4.59362223851716","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_05_outer_ring.csv","block_boundaries/ADC_WNP_05_inner_ring.csv"
"ADC_WNP_06","BASIN_WNP","Western North Pacific and East Asia","118.930958731054","25.0112056687362","3","158","1014.05388395778","377809.211989222","6627909.53078193","556.342357655894","348.009921621967","1776.40670356733","1490.39581176155","250","430","0","0","0","2288904.58945445","2866","2866","6","12","7","4.99768557003139","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_06_outer_ring.csv","block_boundaries/ADC_WNP_06_inner_ring.csv"
"ADC_WNP_07","BASIN_WNP","Western North Pacific and East Asia","120.626410968782","31.3907191993884","1","150","554.41753806136","214523.962574223","5653577.62242524","305.00465495394","250.952868093285","1161.46618363679","1918.75623124123","250","430","0","0","0","2198989.2418456","3002","3002","9","10.433580521351","7","2.73989089969403","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_07_outer_ring.csv","block_boundaries/ADC_WNP_07_inner_ring.csv"
"ADC_WNP_08","BASIN_WNP","Western North Pacific and East Asia","126.453480045197","37.2596062283664","2","194","858.369450523859","365266.744410295","4572351.95658521","475.721226869493","293.958551518446","1060.52099137814","1555.97803562194","250","430","0","0","0","1090295.08674461","1348","1348","3","9.52677857867535","7","4.27345694277302","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_08_outer_ring.csv","block_boundaries/ADC_WNP_08_inner_ring.csv"
"ADC_WNP_09","BASIN_WNP","Western North Pacific and East Asia","130.864416322467","33.0544899830171","1","128","573.925836892581","232343.60470294","5211092.39106317","321.294550687581","247.145295854847","1651.77548291744","1375.03558847518","250","430","0","0","0","1924580.11439895","3500","3500","5","12","7","2.88622485346372","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_09_outer_ring.csv","block_boundaries/ADC_WNP_09_inner_ring.csv"
"ADC_WNP_10","BASIN_WNP","Western North Pacific and East Asia","140.852075642135","39.5963141267143","2","91","708.350979932233","230928.862687358","3882172.67549442","401.149824031197","244.577704044788","1127.5504887164","1191.2972576298","250","430","35351.4715559383","54","1","981001.00876631","1867","1867","4","10.1289120438052","7","3.60357369772905","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_10_outer_ring.csv","block_boundaries/ADC_WNP_10_inner_ring.csv"
"ADC_WNP_11","BASIN_WNP","Western North Pacific and East Asia","137.200503291127","36.9552173150841","2","77","891.944653592209","199189.102647151","5063187.76674652","495.797115773093","159.441609065189","1478.95400512232","1166.99352592994","250","430","53838.5346796292","74","1","1566349.42757929","2586","2586","5","12","7","4.45380089627284","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_11_outer_ring.csv","block_boundaries/ADC_WNP_11_inner_ring.csv"
"ADC_WNP_12","BASIN_WNP","Western North Pacific and East Asia","137.548133052876","35.1264253407577","2","133","863.826930389728","253530.191241225","5467209.43629264","481.261109227483","191.033543280593","1506.74916714207","1212.0754373493","250","430","0","0","0","2071446.9306202","3207","3207","5","12","7","4.32322232507621","0","global_tc_adcirc_block_outer_domains.geojson","global_tc_adcirc_block_inner_domains.geojson","block_boundaries/ADC_WNP_12_outer_ring.csv","block_boundaries/ADC_WNP_12_inner_ring.csv"
